max_err,mae,rmse,median_rel_err,runtime_s,mem_bytes,dataset,method,n_points,status
10373.858449962321,255.58600102370855,1180.0932722737027,1.2629705080256258e-14,0.004510700004175305,4800,constant_acceleration__uneven_outliers,high_order_fd,200,ok
10211.09414579857,289.40996704295975,1200.9327383116276,0.00037644495600598415,0.00033660000190138817,4800,constant_acceleration__uneven_outliers,cubic_spline,200,ok
646.9336496637101,51.76671000944827,109.72914789738648,0.0003142532419150842,0.00076299998909235,4800,constant_acceleration__uneven_outliers,savgol_resampled,200,ok
32.39274873784396,6.264185605731241,8.988539045791256,0.5137591788893598,0.012741099926643074,4800,constant_acceleration__uneven_outliers,ALPRD_v1.0,200,ok
42.89593471745641,1.6860237561669835,4.274463704533293,0.11605409178437215,7.300055585801601e-06,3744,constant_acceleration__missing_noisy,forward_diff,156,ok
42.90480315212622,1.6943727205170784,4.275051426613817,0.11734288468771081,6.6999346017837524e-06,3744,constant_acceleration__missing_noisy,backward_diff,156,ok
41.72846010541609,2.0329913116196807,5.4884530459722285,0.09490710307087862,1.650000922381878e-05,3744,constant_acceleration__missing_noisy,central_diff,156,ok
45.07799238869564,2.7883000147879917,6.308125247475005,0.15190491180691434,0.003565700026229024,3744,constant_acceleration__missing_noisy,high_order_fd,156,ok
43.79899626362916,2.6276947735565708,5.923715670367879,0.15126650397843933,0.0003333000931888819,3744,constant_acceleration__missing_noisy,cubic_spline,156,ok
1.5649164761343834,0.1576531279150665,0.22203361304606045,0.015483301339608728,0.0007393000414595008,3744,constant_acceleration__missing_noisy,savgol_resampled,156,ok
0.07734029314845259,0.021313688564733025,0.025316919894277715,0.002257889407647517,0.00982579996343702,3744,constant_acceleration__missing_noisy,ALPRD_v1.0,156,ok
7.3895989378462446,2.2444490145990272,3.1765216253820796,0.016631707829173333,7.200054824352264e-06,4800,polynomial__clean_uniform,forward_diff,200,ok
7.3895989378462446,2.219955084632511,3.14784826068642,0.016392723692029293,6.300047971308231e-06,4800,polynomial__clean_uniform,backward_diff,200,ok
7.3895989378462446,0.04957434200118141,0.522743897324707,0.0001555795202050542,1.7600017599761486e-05,4800,polynomial__clean_uniform,central_diff,200,ok
1.716671249596402e-11,1.576709873774007e-12,3.076537608626088e-12,6.334750437269974e-15,0.004573500016704202,4800,polynomial__clean_uniform,high_order_fd,200,ok
0.00016405103542638244,2.240979486138883e-06,1.7027756159206686e-05,6.1572904950111216e-15,0.000318199978210032,4800,polynomial__clean_uniform,cubic_spline,200,ok
0.009517043085111254,0.00017587495606080083,0.0010365453718624016,1.2155264485667254e-15,0.0006789999315515161,4800,polynomial__clean_uniform,savgol_resampled,200,ok
21.120894388055945,2.686334219838666,3.848179903258807,0.028451124635516883,0.012829400016926229,4800,polynomial__clean_uniform,ALPRD_v1.0,200,ok
11.97345664311922,2.2313082299644877,3.486430385720169,0.016784531549522724,7.5999414548277855e-06,4800,polynomial__uneven_clean,forward_diff,200,ok
12.055662542657046,2.2213772626834927,3.490666596515179,0.016328646973962305,6.300047971308231e-06,4800,polynomial__uneven_clean,backward_diff,200,ok
5.0508717398273575,0.036510947375589256,0.3575095440525049,0.0001295495988947687,1.6900012269616127e-05,4800,polynomial__uneven_clean,central_diff,200,ok
2.0719426174764521e-10,6.949975039916012e-12,2.2664452140027784e-11,9.072913630018513e-15,0.004524099989794195,4800,polynomial__uneven_clean,high_order_fd,200,ok
0.00018253497876896674,1.681529474528182e-05,2.4943673568823677e-05,1.602989677817627e-07,0.0003328000893816352,4800,polynomial__uneven_clean,cubic_spline,200,ok
0.6862869056561749,0.10528806697362098,0.1745438067285259,0.0006727236927027294,0.0007051000138744712,4800,polynomial__uneven_clean,savgol_resampled,200,ok
20.744158586040044,2.636546975293547,3.781358589305796,0.028315422924310475,0.012988499947823584,4800,polynomial__uneven_clean,ALPRD_v1.0,200,ok
42.69011176439005,3.5858634572403503,5.753071024787425,0.030595875558499647,6.8999361246824265e-06,4800,polynomial__uneven_gaussian,forward_diff,200,ok
43.11078240479448,3.556989876699342,5.750771373592772,0.024211842921870442,5.900044925510883e-06,4800,polynomial__uneven_gaussian,backward_diff,200,ok
40.701774202787504,2.3200247064929367,5.8007250017847785,0.019018454084904005,1.6900012269616127e-05,4800,polynomial__uneven_gaussian,central_diff,200,ok
42.624177470825586,2.846432256790064,6.222220160950387,0.03314056940438996,0.004536499967798591,4800,polynomial__uneven_gaussian,high_order_fd,200,ok
42.173104108514494,2.920009117705821,6.20605176409149,0.033589713305423013,0.0003361999988555908,4800,polynomial__uneven_gaussian,cubic_spline,200,ok
1.3685443172891358,0.2559673496829165,0.3395871348602595,0.0019150570352350022,0.0007015999872237444,4800,polynomial__uneven_gaussian,savgol_resampled,200,ok
20.634714550403828,2.6322648096431043,3.7675147255094594,0.028151102121219466,0.013142299954779446,4800,polynomial__uneven_gaussian,ALPRD_v1.0,200,ok
53.4895722250713,3.223620215901464,5.816633072138877,0.02312348157189458,7.100054062902927e-06,4800,polynomial__uneven_uniformnoise,forward_diff,200,ok
53.38844250125629,3.2615594719668013,5.82188310693007,0.021811637101263923,6.4999330788850784e-06,4800,polynomial__uneven_uniformnoise,backward_diff,200,ok
52.814489877404185,2.0069008525954977,6.325348129692811,0.015189620091874087,1.6600009985268116e-05,4800,polynomial__uneven_uniformnoise,central_diff,200,ok
53.46896511674623,2.531900350936099,6.834896533784188,0.02042847168407961,0.004494399996474385,4800,polynomial__uneven_uniformnoise,high_order_fd,200,ok
53.250418955111684,2.572163166087056,6.702486064039898,0.024293159720519333,0.00032620003912597895,4800,polynomial__uneven_uniformnoise,cubic_spline,200,ok
0.6561163812891664,0.16847108693465734,0.22147454186129176,0.0016083084702897235,0.0006962999468669295,4800,polynomial__uneven_uniformnoise,savgol_resampled,200,ok
20.712772076075453,2.634658555553033,3.7773233197937923,0.02788950811546861,0.013084499980323017,4800,polynomial__uneven_uniformnoise,ALPRD_v1.0,200,ok
213463.537311954,3536.6278492699207,19290.658620957867,0.018192520863504855,7.200054824352264e-06,4800,polynomial__uneven_outliers,forward_diff,200,ok
213463.5826211045,3536.56094945434,19290.655995755318,0.017663609656915703,6.09993003308773e-06,4800,polynomial__uneven_outliers,backward_diff,200,ok
185077.56943247345,3504.758144127943,19831.05959884652,0.00014642693217963498,1.6600009985268116e-05,4800,polynomial__uneven_outliers,central_diff,200,ok
200309.27575464392,4935.1210068102155,22786.471382104864,1.145655051783869e-14,0.004619100014679134,4800,polynomial__uneven_outliers,high_order_fd,200,ok
197166.45283803847,5588.229412385353,23188.86152003531,0.0035684071329886028,0.0003383998991921544,4800,polynomial__uneven_outliers,cubic_spline,200,ok
12491.73536624225,999.6382951404387,2118.780952525788,0.001413551780901228,0.0007210000185295939,4800,polynomial__uneven_outliers,savgol_resampled,200,ok
625.0420729908288,121.87511039579059,174.38953697540808,0.8641008836843935,0.013229600037448108,4800,polynomial__uneven_outliers,ALPRD_v1.0,200,ok
42.69011176439005,4.060464578969645,6.575039669114597,0.03159036793060871,7.100054062902927e-06,3744,polynomial__missing_noisy,forward_diff,156,ok
43.11078240479448,3.9262599938336074,6.489412626331582,0.03151657207231401,6.199930794537067e-06,3744,polynomial__missing_noisy,backward_diff,156,ok
41.72274053127806,2.1363011389180704,5.627982457633339,0.017681633635194833,1.6300007700920105e-05,3744,polynomial__missing_noisy,central_diff,156,ok
45.077992388713525,2.7883000147845998,6.308125247471061,0.03142876924182381,0.003507800051011145,3744,polynomial__missing_noisy,high_order_fd,156,ok
43.79903572209909,2.627695929160385,5.923712309732149,0.032153660060965095,0.0003584999358281493,3744,polynomial__missing_noisy,cubic_spline,156,ok
1.769403448748335,0.3418529848720858,0.4823453735491644,0.0033319966213770577,0.0007633999921381474,3744,polynomial__missing_noisy,savgol_resampled,156,ok
24.949380803634085,2.6434757854361948,4.152692213271807,0.029526410421291366,0.009865600033663213,3744,polynomial__missing_noisy,ALPRD_v1.0,156,ok
0.12208002539383034,0.0800511776706308,0.08797451382754308,0.047911372313837325,7.00005330145359e-06,4800,sinusoidal__clean_uniform,forward_diff,200,ok
0.12208276150942107,0.08004614627472989,0.08796320965152155,0.04873711302827945,5.800044164061546e-06,4800,sinusoidal__clean_uniform,backward_diff,200,ok
0.05634343180459611,0.0027931779378355835,0.005935796496356361,0.001363044214828108,1.6900012269616127e-05,4800,sinusoidal__clean_uniform,central_diff,200,ok
3.076199714735495e-05,4.016305402185201e-06,5.155410060719435e-06,2.2291200206023672e-06,0.004600699990987778,4800,sinusoidal__clean_uniform,high_order_fd,200,ok
