max_err,mae,rmse,median_rel_err,runtime_s,mem_bytes,dataset,method,n_points,status
110.0117814600927,23.819848856242277,31.06003746210578,0.9584156834251751,0.000682600075379014,4800,chaotic__clean_uniform,savgol_matched,200,ok
104.5921162015402,24.184282227376553,31.104330666719658,0.994392622238188,0.014806900057010353,4800,chaotic__clean_uniform,ALPRD_v1.0,200,ok
104.5921162015402,24.184282227376553,31.104330666719658,0.994392622238188,0.018859300063923,4800,chaotic__clean_uniform,ALPRD_v1.0_fast,200,ok
69.24093975573783,14.025410455344941,18.004567569808213,0.7185683720516867,0.17417270003352314,4800,chaotic__clean_uniform,ALPRD_v1.1,200,ok
62.50786085445119,10.409193622584633,13.889850456767252,0.5474205355480182,0.07029429997783154,4800,chaotic__clean_uniform,ALPRD_v1.2,200,ok
88.94360155026096,4.248243218248948,13.133937620325016,0.05595813091502997,0.11246679991018027,4800,chaotic__clean_uniform,ALPRD_v1.3,200,ok
88.94360155026096,4.248243218248948,13.133937620325016,0.05595813091502997,0.11272269999608397,4800,chaotic__clean_uniform,ALPRD_v1.4,200,ok
55.57756231173375,13.036093400119132,16.19247208347774,0.5833871213804325,0.43508010008372366,4800,chaotic__clean_uniform,tv_diff,200,ok
45.73136692103283,4.253344081222923,6.642038665287052,0.13674785633722567,0.43847519997507334,4800,chaotic__clean_uniform,tv_diff_l1,200,ok
7.8314331728157995,0.2184161133993652,0.6417702737613302,0.005879711352689161,0.010201600030995905,4800,chaotic__clean_uniform,rbf_fd,200,ok
77.28765505187795,6.2253370135715045,9.97299046245185,0.2236605069937358,1.3399985618889332e-05,4800,chaotic__uneven_clean,forward_diff,200,ok
45.02516601562144,6.10109913370957,8.908609491768686,0.23559919200726842,7.800059393048286e-06,4800,chaotic__uneven_clean,backward_diff,200,ok
11.92135112663945,1.116641029445089,2.0328170784074997,0.031797801202832876,1.9700033590197563e-05,4800,chaotic__uneven_clean,central_diff,200,ok
3.786940109264293,0.1877942355213194,0.46226102270808,0.0034076178836254835,0.00512190000154078,4800,chaotic__uneven_clean,high_order_fd,200,ok
2.714101076030744,0.15383446707429005,0.3799510886451193,0.002945739531642743,0.00034739996772259474,4800,chaotic__uneven_clean,cubic_spline,200,ok
55.72177637115545,6.0149305061038465,10.153874215146221,0.21112405037859805,0.0008183999452739954,4800,chaotic__uneven_clean,savgol_resampled,200,ok
113.21995529706389,23.225857689954925,30.869940274811714,0.9610660328803382,0.0006914000259712338,4800,chaotic__uneven_clean,savgol_matched,200,ok
